Label	S1	S2	S3	S4	S5
1.0	0.09523809523809523	0.09523809523809523	0.19047619047619047	0.19047619047619047	0.0
2.0	0.09523809523809523	0.09523809523809523	0.23809523809523808	0.23809523809523808	0.047619047619047616
3.0	0.09523809523809523	0.09523809523809523	0.23809523809523808	0.2857142857142857	0.047619047619047616
4.0	0.09523809523809523	0.09523809523809523	0.14285714285714285	0.14285714285714285	0.047619047619047616
5.0	0.09523809523809523	0.09523809523809523	0.14285714285714285	0.19047619047619047	0.0
6.0	0.047619047619047616	0.09523809523809523	0.14285714285714285	0.19047619047619047	0.047619047619047616
7.0	0.047619047619047616	0.047619047619047616	0.19047619047619047	0.14285714285714285	0.047619047619047616
8.0	0.09523809523809523	0.09523809523809523	0.19047619047619047	0.09523809523809523	0.047619047619047616
9.0	0.047619047619047616	0.09523809523809523	0.19047619047619047	0.19047619047619047	0.047619047619047616
10.0	0.09523809523809523	0.09523809523809523	0.19047619047619047	0.19047619047619047	0.047619047619047616
11.0	0.047619047619047616	0.0	0.2857142857142857	0.14285714285714285	0.047619047619047616
12.0	0.09523809523809523	0.09523809523809523	0.23809523809523808	0.19047619047619047	0.047619047619047616
13.0	0.047619047619047616	0.09523809523809523	0.14285714285714285	0.19047619047619047	0.047619047619047616
14.0	0.0	0.09523809523809523	0.23809523809523808	0.2857142857142857	0.047619047619047616
15.0	0.09523809523809523	0.09523809523809523	0.19047619047619047	0.14285714285714285	0.0
16.0	0.047619047619047616	0.09523809523809523	0.19047619047619047	0.19047619047619047	0.0
17.0	0.047619047619047616	0.09523809523809523	0.09523809523809523	0.09523809523809523	0.047619047619047616
18.0	0.0	0.0	0.23809523809523808	0.2857142857142857	0.047619047619047616
19.0	0.047619047619047616	0.09523809523809523	0.14285714285714285	0.09523809523809523	0.0
20.0	0.0	0.09523809523809523	0.23809523809523808	0.2857142857142857	0.047619047619047616
21.0	0.09523809523809523	0.09523809523809523	0.19047619047619047	0.19047619047619047	0.047619047619047616
22.0	0.09523809523809523	0.047619047619047616	0.09523809523809523	0.19047619047619047	0.047619047619047616
23.0	0.047619047619047616	0.09523809523809523	0.14285714285714285	0.19047619047619047	0.0
24.0	0.09523809523809523	0.09523809523809523	0.047619047619047616	0.09523809523809523	0.047619047619047616
25.0	0.047619047619047616	0.09523809523809523	0.14285714285714285	0.09523809523809523	0.047619047619047616
26.0	0.047619047619047616	0.09523809523809523	0.19047619047619047	0.19047619047619047	0.047619047619047616
27.0	0.047619047619047616	0.09523809523809523	0.09523809523809523	0.19047619047619047	0.047619047619047616
28.0	0.047619047619047616	0.09523809523809523	0.14285714285714285	0.19047619047619047	0.047619047619047616
29.0	0.0	0.0	0.19047619047619047	0.19047619047619047	0.047619047619047616
30.0	0.0	0.0	0.0	0.0	0.0
31.0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.047619047619047616
32.0	0.047619047619047616	0.09523809523809523	0.19047619047619047	0.09523809523809523	0.047619047619047616
33.0	0.0	0.0	0.14285714285714285	0.09523809523809523	0.047619047619047616
34.0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.047619047619047616
35.0	0.0	0.0	0.047619047619047616	0.047619047619047616	0.047619047619047616
36.0	0.0	0.047619047619047616	0.0	0.0	0.0
37.0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.047619047619047616
38.0	0.0	0.0	0.0	0.0	0.0
39.0	0.0	0.0	0.047619047619047616	0.0	0.0
40.0	0.0	0.0	0.0	0.0	0.0
41.0	0.0	0.0	0.0	0.0	0.0
42.0	0.0	0.0	0.0	0.0	0.0
43.0	0.0	0.0	0.0	0.0	0.0
44.0	0.0	0.0	0.0	0.0	0.0
45.0	0.0	0.0	0.0	0.0	0.0
46.0	0.0	0.0	0.0	0.0	0.0
47.0	0.0	0.0	0.0	0.0	0.0
48.0	0.0	0.0	0.0	0.0	0.0
49.0	0.0	0.0	0.0	0.0	0.0
50.0	0.0	0.0	0.0	0.0	0.0
51.0	0.0	0.0	0.0	0.0	0.0
52.0	0.0	0.0	0.0	0.0	0.0
53.0	0.0	0.0	0.0	0.0	0.0
54.0	0.0	0.0	0.0	0.0	0.0
55.0	0.0	0.0	0.0	0.0	0.0
